Wall time,Step,Reward,Episode_Length
1699416778,12288,-62.98384476,65.51000214
1699416910,32768,-61.27258682,65.48999786
1699416946,38912,-61.46847916,65.11000061
1699417027,51200,-58.86270905,65.02999878
1699417193,75776,-56.1006546,65.70999908
1699417246,83968,-53.96493912,65.37000275
1699417271,88064,-53.56188583,65.23000336
1699417299,92160,-52.6906662,65.40000153
1699417312,94208,-52.69165039,65.45999908
1699417338,98304,-51.81562424,65.33000183
1699417420,110592,-47.72489929,65.87000275
1699417433,112640,-47.63121414,65.90000153
1699417445,114688,-46.89825821,66.02999878
1699417459,116736,-47.06257629,65.90000153
1699417586,135168,-42.42939758,68.62999725
1699417662,147456,-36.85153198,70.51999664
1699417675,149504,-37.17682648,70.88999939
1699417694,151552,-37.57086945,71.84999847
1699417706,153600,-37.35441589,72.18000031
1699417780,163840,-35.44485474,73.58000183
1699417883,180224,-31.81418419,77.18000031
1699417983,194560,-29.9991436,79.02999878
1699418089,210944,-20.15224075,82.80999756
1699418127,217088,-18.26039124,84.77999878
1699418141,219136,-18.9305954,84.54000092
1699418238,233472,-16.52841377,85.41000366
1699418314,243712,-6.883862495,87.48999786
1699418427,260096,-0.546471953,92.44000244
1699418465,266240,-2.97488308,94.88999939
1699418477,268288,-4.699502468,95.20999908
1699418596,286720,1.417915463,107.0999985
1699418627,290816,13.37967777,112.7300034
1699418640,292864,14.47755909,117.0299988
1699418742,309248,19.94633865,148.6399994
1699418812,319488,12.37059689,168.8399963
1699418840,323584,14.50840664,179.1300049
1699418853,325632,7.885404587,177.8699951
1699418911,333824,22.57763672,192.1499939
1699418989,344064,2.573436499,189.75
1699419001,346112,5.692612171,186.5399933
1699419041,352256,-0.918120921,179.1100006
1699419124,364544,9.117930412,184.4600067
1699419137,366592,8.497876167,181.9199982
1699419164,370688,2.797838926,179.25
1699419201,376832,3.762019396,174.8600006
1699419234,380928,2.533611774,178.2599945
1699419247,382976,1.397535801,182.25
1699419271,387072,5.001795769,185.5200043
1699419297,391168,10.11286068,192.2299957
1699419309,393216,8.746631622,195.9900055
1699419406,407552,23.81129456,197.3300018
1699419516,423936,5.191314697,197.7899933
1699419528,425984,3.081079721,193.3200073
1699419541,428032,-1.922440886,191.7400055
1699419592,436224,15.8205328,200.0700073
1699419695,458752,8.95361042,188.9600067
1699419770,471040,-7.417154789,176.5099945
1699419805,477184,5.689679623,180.6000061
1699419834,481280,8.411347389,177.3600006
1699419869,487424,19.24407959,183.5399933
1699420024,512000,0.765230536,191.8600006
1699420098,524288,7.700543404,192.8999939
1699420154,534528,13.62999249,195.9499969
1699420165,536576,14.64795876,192.0599976
1699420196,540672,22.18929863,195.5599976
1699420243,548864,15.53467083,187.4700012
1699420292,557056,11.99462318,176.1699982
1699420322,561152,22.00675964,175.8500061
1699420383,571392,16.24885368,177.5700073
1699420563,600064,28.02731705,171.6100006
1699420624,610304,21.01927757,172.5500031
1699420636,612352,29.81171608,173.5500031
1699420686,620544,28.94072151,173.6799927
1699420698,622592,35.9727211,174.0599976
1699420746,630784,18.71855545,171.4199982
1699420759,632832,16.42343903,169.5399933
1699420783,636928,26.17358017,170.2100067
1699420822,643072,20.40884018,167.0399933
1699420884,653312,28.11161804,162.2700043
1699420896,655360,31.65491486,163.7899933
1699420969,667648,36.03637695,176.1300049
1699420981,669696,33.95827484,176.2299957
1699421000,671744,33.88958359,176.4299927
1699421036,677888,40.29551315,178.7899933
1699421148,696320,31.9191761,173.4299927
1699421250,712704,35.34331512,155.2700043
1699421417,739328,27.2279911,178.3000031
1699421456,745472,42.09202957,174.8699951
1699421483,753664,41.492836,173.7100067
1699421558,765952,51.52168655,181.6100006
1699421607,774144,60.58700943,186.2799988
1699421636,778240,59.66996384,189.3300018
1699421724,792576,40.43847656,192.4900055
1699421790,802816,39.3990097,201.8000031
1699421803,804864,37.00362015,204.0500031
1699422020,837632,18.68570328,214.7200012
1699422115,851968,23.98874283,199.2599945
1699422189,864256,42.58811951,222.3899994
1699422201,866304,45.99892807,227.25
1699422229,870400,44.74762726,229.8000031
1699422302,882688,41.38114929,222.0700073
1699422416,901120,45.03063583,228.5500031
1699422441,905216,43.86852264,228.8999939
