Wall time,Step,Value
1701732557.5218594,2048,-8.436153411865234
1701732564.0705001,4096,-9.31554126739502
1701732568.8505335,6144,-8.63935375213623
1701732573.5195796,8192,-5.916136264801025
1701732579.8866606,10240,-3.4859466552734375
1701732584.7492802,12288,-3.260347604751587
1701732589.364694,14336,-1.8706257343292236
1701732594.5843787,16384,1.0706976652145386
1701732599.2863867,18432,2.7182419300079346
1701732605.3818414,20480,5.71046257019043
1701732610.5935142,22528,7.140336513519287
1701732615.2575448,24576,8.650333404541016
1701732620.1624599,26624,8.337584495544434
1701732625.4754906,28672,8.87134075164795
1701732631.5034466,30720,6.779872894287109
1701732637.043592,32768,5.893805027008057
1701732642.1765742,34816,6.668554782867432
1701732646.846698,36864,8.24194622039795
1701732651.5257308,38912,9.217741012573242
1701732657.6177979,40960,11.066929817199707
1701732662.3843606,43008,11.63825511932373
1701732667.2440555,45056,14.457879066467285
1701732672.5286577,47104,19.51120376586914
1701732677.241815,49152,23.27861213684082
1701732683.2055764,51200,25.940380096435547
1701732688.505593,53248,27.365745544433594
1701732693.238216,55296,31.305633544921875
1701732697.8738282,57344,78.57730102539062
1701732703.6733084,59392,81.35101318359375
1701732710.0638378,61440,101.33834075927734
1701732714.753899,63488,105.80592346191406
1701732719.9226959,65536,156.83493041992188
1701732724.9303997,67584,162.92340087890625
1701732730.052031,69632,181.40426635742188
1701732736.7741103,71680,186.8972930908203
1701732741.7041202,73728,187.72097778320312
1701732746.9840753,75776,238.88414001464844
1701732752.373121,77824,303.5201110839844
1701732757.2726145,79872,303.6041564941406
1701732763.7436285,81920,309.4918212890625
1701732770.0526505,83968,294.27978515625
1701732774.935204,86016,349.41436767578125
1701732779.7627087,88064,400.3451843261719
1701732786.6718905,90112,413.483642578125
1701732791.5380616,92160,467.1805114746094
1701732796.2998734,94208,460.980712890625
1701732802.0128522,96256,536.851318359375
1701732806.8379622,98304,584.437255859375
1701732813.1676226,100352,637.6541137695312
1701732818.5519328,102400,673.13330078125
1701732823.6063113,104448,724.8084716796875
1701732828.8256912,106496,835.5140380859375
1701732834.1950161,108544,890.7568359375
1701732841.4798598,110592,943.9641723632812
1701732846.4313667,112640,1011.3306884765625
1701732851.515104,114688,1166.3392333984375
1701732856.3855445,116736,1262.712158203125
1701732861.2431912,118784,1255.80712890625
1701732868.143977,120832,1251.65673828125
1701732872.9318798,122880,1243.0714111328125
1701732877.6877005,124928,1239.8524169921875
1701732882.9201431,126976,1288.4486083984375
1701732887.739395,129024,1169.9112548828125
1701732898.2760692,131072,1210.90283203125
1701732903.1688144,133120,1305.4039306640625
1701732908.077127,135168,1260.3533935546875
1701732913.263755,137216,1110.2598876953125
1701732918.0525603,139264,1065.97216796875
1701732927.262952,141312,1076.6427001953125
1701732932.2295654,143360,898.3965454101562
1701732937.203015,145408,855.3206787109375
1701732942.25531,147456,807.9545288085938
1701732948.4030142,149504,809.8911743164062
1701732955.5764616,151552,794.8184814453125
